"Id","IdPropiedad","IdInquilino","FechaInicio","FechaFin","MontoMensual","Deposito"
"1","1","1","2025-01-01","2025-12-31","55000.00","110000.00"
"2","2","2","2025-02-01","2026-01-31","75000.00","150000.00"
"3","12","1","2025-10-07","2025-12-07","1000000.00","50000.00"
"4","13","2","2025-10-10","2025-12-10","1000000.00","5000.00"
"Id","DNI","Apellido","Nombre","Email","Telefono","Direccion","FechaAlta"
"1","40123456","Rodríguez","Ana","ana.rodriguez@example.com","2664333444","Boulevard Mitre 789","2025-09-23 16:24:15"
"2","41987654","López","Carlos","carlos.lopez@example.com","2664777888","Pasaje San Martín 321","2025-09-23 16:24:15"
"6","33569785","mendoza","jose","jose@gmail.com","2664258695",NULL,"2025-10-06 08:10:50"
"9","43765432","Martínez","Sofía","sofia.martinez@example.com","2664999888","Calle Rivadavia 123","2025-10-07 00:36:09"
"Id","Direccion","Tipo","Uso","Ambientes","Precio","IdPropietario"
"1","Av. Libertador 123","Departamento","Residencial","3","55000.00","1"
"2","Calle San Martín 456","Casa","Residencial","4","75000.00","2"
"3","Av España 1230","Local comercial","Mixto","3","1000000.00","2"
"4","Pringles 1250","Oficina","Profecional","5","150000.00","6"
"10","Av. Libertador 101","Departamento","Residencial","3","55000.00","1"
"11","Av. Libertador 102","Departamento","Residencial","2","50000.00","1"
"12","Calle Mitre 201","Casa","Residencial","4","75000.00","1"
"13","Calle Mitre 202","Casa","Residencial","3","70000.00","1"
"14","Calle San Martín 301","Local Comercial","Comercial","1","65000.00","1"
"15","Calle San Martín 302","Local Comercial","Comercial","2","72000.00","1"
"16","Calle Rivadavia 401","Oficina","Profesional","2","60000.00","1"
"17","Calle Rivadavia 402","Oficina","Profesional","3","68000.00","1"
"18","Boulevard Brown 501","Galpón","Industrial","1","85000.00","1"
"19","Boulevard Brown 502","Galpón","Industrial","2","90000.00","1"
"20","Av. Pellegrini 601","Terreno","Residencial","0","45000.00","1"
"21","Av. Pellegrini 602","Terreno","Residencial","0","48000.00","1"
"22","Calle Belgrano 701","PH","Residencial","2","52000.00","1"
"23","Calle Belgrano 702","PH","Residencial","3","57000.00","1"
"24","Calle Córdoba 801","Cochera","Residencial","0","15000.00","1"
"25","Calle Córdoba 802","Cochera","Residencial","0","16000.00","1"
"26","Calle San Juan 901","Quinta","Recreativo","5","120000.00","1"
"27","Calle San Juan 902","Quinta","Recreativo","6","130000.00","1"
"28","Av. España 1001","Departamento","Mixto","3","60000.00","1"
"29","Av. España 1002","Oficina","Institucional","2","70000.00","1"
"Id","DNI","Apellido","Nombre","Email","Telefono","Direccion","FechaAlta"
"1","30123456","Pérez","Juan","juan.perez@example.com","2664123456","Av. Siempre Viva 123","2025-09-23 16:24:15"
"2","28987654","Gómez","María","maria.gomez@example.com","2664789123","Calle Falsa 456","2025-09-23 16:24:15"
"6","31542704","celi","leandro","leandro@gmail.com","2664222757","san luis capital","2025-10-06 11:05:51"
"9","27654321","Fernández","Lucía","lucia.fernandez@example.com","2664001122","Calle Moreno 789","2025-10-07 00:36:09"
"10","33569786","pirulo","juan","juan@gmail.com","2664258690","san luis capital","2025-10-07 19:33:19"
"Id","Email","PasswordHash","NombreCompleto","Rol","FotoPerfil"
"3","admin@inmobiliaria.com","$2a$11$PZy/IqArdg1PcvLLyIqQu.JIuJAbvGxHJzPLKlUo38SSW03qe2U12","Administrador Inicial","Administrador",NULL
"7","test@inmobiliaria.com","$2a$11$UBKA19BVnbuWsLr3In0mGeMIxItaz2UJSQE3cPJOtdDj6t3lsb4Oe","test","Empleado",NULL
"8","test2@inmobiliaria.com","$2a$11$KF6zbX774K19kF/KenDS4OYkRI9Jzu8lwdmu/yKkIGbSBaZgdSE0a","test 2 ","Empleado",NULL
